STT,Title,Company,Category,Location,State,Hourly_Wage,Annual_Wage,Physical_Demand,English_Requirement,PERM_Success_Rate,SOC_Code,Duties
11,Palletizer & Staging Worker,Georgia Distribution Center,Kho bãi & Đóng gói thủ công (Packaging & Warehouse),"Macon, GA",GA,$18.78/h,"$39,062/năm","Nặng (Bốc dỡ thùng hàng, đóng pallet)",Cơ bản,Khá Cao (80-85%),53-7064,"Đóng gói hàng hóa vào thùng carton, dán nhãn bưu kiện, xếp thùng hàng lên pallet, bốc dỡ và chuyển hàng trong kho."
12,Evisceration Line Worker,Tyson Foods Processing,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Lexington, NE",NE,$16.38/h,"$34,070/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
13,Hotel Room Attendant,Best Western Premier,Dọn phòng khách sạn (Housekeeping),"Nashville, TN",TN,$17.74/h,"$36,899/năm","Trung bình - Nặng (Thay ga gối, đẩy xe giặt)",Tối thiểu,Khá Cao (80-85%),37-2012,"Dọn dẹp phòng khách sạn, thay vỏ chăn ga gối, khử trùng phòng tắm, bổ sung đồ dùng cá nhân cho khách, duy trì vệ sinh hành lang."
14,Public Area Cleaner,Marriott Hospitality Group,Dọn phòng khách sạn (Housekeeping),"Orlando, FL",FL,$18.23/h,"$37,918/năm","Trung bình - Nặng (Thay ga gối, đẩy xe giặt)",Tối thiểu,Khá Cao (80-85%),37-2012,"Dọn dẹp phòng khách sạn, thay vỏ chăn ga gối, khử trùng phòng tắm, bổ sung đồ dùng cá nhân cho khách, duy trì vệ sinh hành lang."
15,Warehouse Packaging Laborer,Sunbelt Warehouse Co.,Kho bãi & Đóng gói thủ công (Packaging & Warehouse),"Fort Worth, TX",TX,$17.11/h,"$35,588/năm","Nặng (Bốc dỡ thùng hàng, đóng pallet)",Cơ bản,Khá Cao (80-85%),53-7064,"Đóng gói hàng hóa vào thùng carton, dán nhãn bưu kiện, xếp thùng hàng lên pallet, bốc dỡ và chuyển hàng trong kho."
16,Grill & Fry Station Cook,Burger King Northern Group,Chuỗi thức ăn nhanh & Nhà hàng (Fast Food),"Cleveland, OH",OH,$13.02/h,"$27,081/năm","Trung bình (Đi lại, phụ bếp, đứng quầy)",Cơ bản (Giao tiếp đơn giản),Khá Cao (80-85%),35-3023,"Chuẩn bị nguyên liệu, làm bánh sandwich/pizza, vận hành bếp chiên, dọn dẹp vệ sinh khu vực bếp và khu vực bàn ăn của khách."
17,Dining Room Attendant & Cleaner,Taco Bell Franchise Corp,Chuỗi thức ăn nhanh & Nhà hàng (Fast Food),"Atlanta, GA",GA,$16.81/h,"$34,964/năm","Trung bình (Đi lại, phụ bếp, đứng quầy)",Cơ bản (Giao tiếp đơn giản),Khá Cao (80-85%),35-3023,"Chuẩn bị nguyên liệu, làm bánh sandwich/pizza, vận hành bếp chiên, dọn dẹp vệ sinh khu vực bếp và khu vực bàn ăn của khách."
18,Produce Sorting & Crop Worker,Giorgi Mushroom Company,Nông trại & Nhà kính (Agriculture/Greenhouse),"Blandon, PA",PA,$17.29/h,"$35,963/năm","Nặng (Cúi gập người, môi trường ẩm nóng)",Không yêu cầu,Cao (90%) - Thiếu hụt lao động địa phương,45-2092,"Hái nấm, thu hoạch rau củ trong nhà màng, cắt tỉa cành cây cảnh trong vườn ươm, phân loại nông sản xuất khẩu."
19,Hand Packer & Material Sorter,Valley Produce Packaging,Kho bãi & Đóng gói thủ công (Packaging & Warehouse),"Fresno, CA",CA,$16.34/h,"$33,987/năm","Nặng (Bốc dỡ thùng hàng, đóng pallet)",Cơ bản,Khá Cao (80-85%),53-7064,"Đóng gói hàng hóa vào thùng carton, dán nhãn bưu kiện, xếp thùng hàng lên pallet, bốc dỡ và chuyển hàng trong kho."
20,Dining Room Attendant & Cleaner,Burger King Northern Group,Chuỗi thức ăn nhanh & Nhà hàng (Fast Food),"Cleveland, OH",OH,$17.77/h,"$36,961/năm","Trung bình (Đi lại, phụ bếp, đứng quầy)",Cơ bản (Giao tiếp đơn giản),Khá Cao (80-85%),35-3023,"Chuẩn bị nguyên liệu, làm bánh sandwich/pizza, vận hành bếp chiên, dọn dẹp vệ sinh khu vực bếp và khu vực bàn ăn của khách."
21,Poultry Processing Line Worker,George's Processing Inc.,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Springdale, AR",AR,$18.29/h,"$38,043/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
22,Poultry Processing Line Worker,Tyson Foods Processing,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Lexington, NE",NE,$15.62/h,"$32,489/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
23,Quality Sort Laborer,Amick Farms LLC,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Batesburg, SC",SC,$19.44/h,"$40,435/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
24,Industrial Laundry Worker,Healthcare Linen Services Group,Giặt là công nghiệp (Commercial Laundry),"Atlanta, GA",GA,$14.46/h,"$30,076/năm","Trung bình (Nóng bức, gấp khăn liên tục)",Không yêu cầu,Cao (90%) - Thiếu hụt lao động địa phương,51-6011,"Phân loại đồ vải y tế/khách sạn, nạp đồ vào máy giặt công nghiệp, tiếp nhận và gấp khăn ga tự động, đóng bọc đồ sạch."
25,Warehouse Packaging Laborer,Valley Produce Packaging,Kho bãi & Đóng gói thủ công (Packaging & Warehouse),"Fresno, CA",CA,$15.97/h,"$33,217/năm","Nặng (Bốc dỡ thùng hàng, đóng pallet)",Cơ bản,Khá Cao (80-85%),53-7064,"Đóng gói hàng hóa vào thùng carton, dán nhãn bưu kiện, xếp thùng hàng lên pallet, bốc dỡ và chuyển hàng trong kho."
26,Fast Food Crew Member,Popeyes Louisiana Kitchen,Chuỗi thức ăn nhanh & Nhà hàng (Fast Food),"Charlotte, NC",NC,$17.89/h,"$37,211/năm","Trung bình (Đi lại, phụ bếp, đứng quầy)",Cơ bản (Giao tiếp đơn giản),Khá Cao (80-85%),35-3023,"Chuẩn bị nguyên liệu, làm bánh sandwich/pizza, vận hành bếp chiên, dọn dẹp vệ sinh khu vực bếp và khu vực bàn ăn của khách."
27,Hand Packer & Material Sorter,Valley Produce Packaging,Kho bãi & Đóng gói thủ công (Packaging & Warehouse),"Fresno, CA",CA,$16.21/h,"$33,716/năm","Nặng (Bốc dỡ thùng hàng, đóng pallet)",Cơ bản,Khá Cao (80-85%),53-7064,"Đóng gói hàng hóa vào thùng carton, dán nhãn bưu kiện, xếp thùng hàng lên pallet, bốc dỡ và chuyển hàng trong kho."
28,Evisceration Line Worker,Tyson Foods Processing,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Lexington, NE",NE,$15.91/h,"$33,092/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
29,Janitor & Custodian,Metro Commercial Cleaning,Vệ sinh công nghiệp & Tòa nhà (Janitorial),"Raleigh, NC",NC,$18.64/h,"$38,771/năm","Trung bình (Lau sàn, đổ rác, lau kính)",Không yêu cầu,Khá Cao (80-85%),37-2011,"Lau dọn sàn nhà xưởng, văn phòng, vệ sinh nhà vệ sinh công cộng, thu gom và ép rác thải, bảo trì vệ sinh tòa nhà."
30,Live Hang Laborer,Wayne-Sanderson Farms,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Laurel, MS",MS,$16.71/h,"$34,756/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
31,Packaging & Chilling Attendant,Amick Farms LLC,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Batesburg, SC",SC,$19.95/h,"$41,496/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
32,Fast Food Crew Member,Popeyes Louisiana Kitchen,Chuỗi thức ăn nhanh & Nhà hàng (Fast Food),"Charlotte, NC",NC,$14.24/h,"$29,619/năm","Trung bình (Đi lại, phụ bếp, đứng quầy)",Cơ bản (Giao tiếp đơn giản),Khá Cao (80-85%),35-3023,"Chuẩn bị nguyên liệu, làm bánh sandwich/pizza, vận hành bếp chiên, dọn dẹp vệ sinh khu vực bếp và khu vực bàn ăn của khách."
33,Public Area Cleaner,Marriott Hospitality Group,Dọn phòng khách sạn (Housekeeping),"Orlando, FL",FL,$14.12/h,"$29,369/năm","Trung bình - Nặng (Thay ga gối, đẩy xe giặt)",Tối thiểu,Khá Cao (80-85%),37-2012,"Dọn dẹp phòng khách sạn, thay vỏ chăn ga gối, khử trùng phòng tắm, bổ sung đồ dùng cá nhân cho khách, duy trì vệ sinh hành lang."
34,Housekeeping Associate,Best Western Premier,Dọn phòng khách sạn (Housekeeping),"Nashville, TN",TN,$17.24/h,"$35,859/năm","Trung bình - Nặng (Thay ga gối, đẩy xe giặt)",Tối thiểu,Khá Cao (80-85%),37-2012,"Dọn dẹp phòng khách sạn, thay vỏ chăn ga gối, khử trùng phòng tắm, bổ sung đồ dùng cá nhân cho khách, duy trì vệ sinh hành lang."
35,Warehouse Packaging Laborer,Midwest Logistics Services,Kho bãi & Đóng gói thủ công (Packaging & Warehouse),"Indianapolis, IN",IN,$19.39/h,"$40,331/năm","Nặng (Bốc dỡ thùng hàng, đóng pallet)",Cơ bản,Khá Cao (80-85%),53-7064,"Đóng gói hàng hóa vào thùng carton, dán nhãn bưu kiện, xếp thùng hàng lên pallet, bốc dỡ và chuyển hàng trong kho."
36,Kitchen Helper & Dishwasher,Subway Franchise Group,Chuỗi thức ăn nhanh & Nhà hàng (Fast Food),"Houston, TX",TX,$13.34/h,"$27,747/năm","Trung bình (Đi lại, phụ bếp, đứng quầy)",Cơ bản (Giao tiếp đơn giản),Khá Cao (80-85%),35-3023,"Chuẩn bị nguyên liệu, làm bánh sandwich/pizza, vận hành bếp chiên, dọn dẹp vệ sinh khu vực bếp và khu vực bàn ăn của khách."
37,Linen Folder & Sorter,Healthcare Linen Services Group,Giặt là công nghiệp (Commercial Laundry),"Atlanta, GA",GA,$13.78/h,"$28,662/năm","Trung bình (Nóng bức, gấp khăn liên tục)",Không yêu cầu,Cao (90%) - Thiếu hụt lao động địa phương,51-6011,"Phân loại đồ vải y tế/khách sạn, nạp đồ vào máy giặt công nghiệp, tiếp nhận và gấp khăn ga tự động, đóng bọc đồ sạch."
38,Food Preparation Worker,Pizza Hut Express LLC,Chuỗi thức ăn nhanh & Nhà hàng (Fast Food),"Orlando, FL",FL,$16.34/h,"$33,987/năm","Trung bình (Đi lại, phụ bếp, đứng quầy)",Cơ bản (Giao tiếp đơn giản),Khá Cao (80-85%),35-3023,"Chuẩn bị nguyên liệu, làm bánh sandwich/pizza, vận hành bếp chiên, dọn dẹp vệ sinh khu vực bếp và khu vực bàn ăn của khách."
39,Janitor & Custodian,National Facility Cleaning LLC,Vệ sinh công nghiệp & Tòa nhà (Janitorial),"Chicago, IL",IL,$17.62/h,"$36,649/năm","Trung bình (Lau sàn, đổ rác, lau kính)",Không yêu cầu,Khá Cao (80-85%),37-2011,"Lau dọn sàn nhà xưởng, văn phòng, vệ sinh nhà vệ sinh công cộng, thu gom và ép rác thải, bảo trì vệ sinh tòa nhà."
40,General Laborer - Deboning Department,Tyson Foods Processing,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Lexington, NE",NE,$19.32/h,"$40,185/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
41,Kitchen Helper & Dishwasher,Panda Express Operations,Chuỗi thức ăn nhanh & Nhà hàng (Fast Food),"Phoenix, AZ",AZ,$13.47/h,"$28,017/năm","Trung bình (Đi lại, phụ bếp, đứng quầy)",Cơ bản (Giao tiếp đơn giản),Khá Cao (80-85%),35-3023,"Chuẩn bị nguyên liệu, làm bánh sandwich/pizza, vận hành bếp chiên, dọn dẹp vệ sinh khu vực bếp và khu vực bàn ăn của khách."
42,Meat Cutter & Trimmer,Koch Foods of Alabama,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Montgomery, AL",AL,$17.33/h,"$36,046/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
43,Pizza Assembly Associate,Popeyes Louisiana Kitchen,Chuỗi thức ăn nhanh & Nhà hàng (Fast Food),"Charlotte, NC",NC,$13.27/h,"$27,601/năm","Trung bình (Đi lại, phụ bếp, đứng quầy)",Cơ bản (Giao tiếp đơn giản),Khá Cao (80-85%),35-3023,"Chuẩn bị nguyên liệu, làm bánh sandwich/pizza, vận hành bếp chiên, dọn dẹp vệ sinh khu vực bếp và khu vực bàn ăn của khách."
44,Fast Food Crew Member,Wendy's Operations LLC,Chuỗi thức ăn nhanh & Nhà hàng (Fast Food),"Dallas, TX",TX,$15.01/h,"$31,220/năm","Trung bình (Đi lại, phụ bếp, đứng quầy)",Cơ bản (Giao tiếp đơn giản),Khá Cao (80-85%),35-3023,"Chuẩn bị nguyên liệu, làm bánh sandwich/pizza, vận hành bếp chiên, dọn dẹp vệ sinh khu vực bếp và khu vực bàn ăn của khách."
45,Quality Sort Laborer,Amick Farms LLC,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Batesburg, SC",SC,$19.74/h,"$41,059/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
46,Housekeeping Associate,Hilton Hotel & Resorts,Dọn phòng khách sạn (Housekeeping),"Las Vegas, NV",NV,$15.05/h,"$31,304/năm","Trung bình - Nặng (Thay ga gối, đẩy xe giặt)",Tối thiểu,Khá Cao (80-85%),37-2012,"Dọn dẹp phòng khách sạn, thay vỏ chăn ga gối, khử trùng phòng tắm, bổ sung đồ dùng cá nhân cho khách, duy trì vệ sinh hành lang."
47,Housekeeping Associate,Choice Hotels Franchise,Dọn phòng khách sạn (Housekeeping),"San Antonio, TX",TX,$16.32/h,"$33,945/năm","Trung bình - Nặng (Thay ga gối, đẩy xe giặt)",Tối thiểu,Khá Cao (80-85%),37-2012,"Dọn dẹp phòng khách sạn, thay vỏ chăn ga gối, khử trùng phòng tắm, bổ sung đồ dùng cá nhân cho khách, duy trì vệ sinh hành lang."
48,Laundry Runner & Linen Attendant,Wyndham Vacation Rentals,Dọn phòng khách sạn (Housekeeping),"Myrtle Beach, SC",SC,$15.37/h,"$31,969/năm","Trung bình - Nặng (Thay ga gối, đẩy xe giặt)",Tối thiểu,Khá Cao (80-85%),37-2012,"Dọn dẹp phòng khách sạn, thay vỏ chăn ga gối, khử trùng phòng tắm, bổ sung đồ dùng cá nhân cho khách, duy trì vệ sinh hành lang."
49,Packaging & Chilling Attendant,Case Farms Processing Inc.,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Morganton, NC",NC,$19.44/h,"$40,435/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
50,Poultry Processing Line Worker,George's Processing Inc.,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Springdale, AR",AR,$15.28/h,"$31,782/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
51,Industrial Laundry Worker,Hospitality Linen Solutions,Giặt là công nghiệp (Commercial Laundry),"Orlando, FL",FL,$17.38/h,"$36,150/năm","Trung bình (Nóng bức, gấp khăn liên tục)",Không yêu cầu,Cao (90%) - Thiếu hụt lao động địa phương,51-6011,"Phân loại đồ vải y tế/khách sạn, nạp đồ vào máy giặt công nghiệp, tiếp nhận và gấp khăn ga tự động, đóng bọc đồ sạch."
52,Kitchen Helper & Dishwasher,Pizza Hut Express LLC,Chuỗi thức ăn nhanh & Nhà hàng (Fast Food),"Orlando, FL",FL,$15.03/h,"$31,262/năm","Trung bình (Đi lại, phụ bếp, đứng quầy)",Cơ bản (Giao tiếp đơn giản),Khá Cao (80-85%),35-3023,"Chuẩn bị nguyên liệu, làm bánh sandwich/pizza, vận hành bếp chiên, dọn dẹp vệ sinh khu vực bếp và khu vực bàn ăn của khách."
53,General Laborer - Deboning Department,Tyson Foods Processing,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Lexington, NE",NE,$19.76/h,"$41,100/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
54,Kitchen Helper & Dishwasher,Subway Franchise Group,Chuỗi thức ăn nhanh & Nhà hàng (Fast Food),"Houston, TX",TX,$14.89/h,"$30,971/năm","Trung bình (Đi lại, phụ bếp, đứng quầy)",Cơ bản (Giao tiếp đơn giản),Khá Cao (80-85%),35-3023,"Chuẩn bị nguyên liệu, làm bánh sandwich/pizza, vận hành bếp chiên, dọn dẹp vệ sinh khu vực bếp và khu vực bàn ăn của khách."
55,Meat Cutter & Trimmer,Koch Foods of Alabama,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Montgomery, AL",AL,$20.10/h,"$41,808/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
56,Food Preparation Worker,Popeyes Louisiana Kitchen,Chuỗi thức ăn nhanh & Nhà hàng (Fast Food),"Charlotte, NC",NC,$15.12/h,"$31,449/năm","Trung bình (Đi lại, phụ bếp, đứng quầy)",Cơ bản (Giao tiếp đơn giản),Khá Cao (80-85%),35-3023,"Chuẩn bị nguyên liệu, làm bánh sandwich/pizza, vận hành bếp chiên, dọn dẹp vệ sinh khu vực bếp và khu vực bàn ăn của khách."
57,Laundry Runner & Linen Attendant,Hyatt Place Management,Dọn phòng khách sạn (Housekeeping),"Tampa, FL",FL,$14.85/h,"$30,888/năm","Trung bình - Nặng (Thay ga gối, đẩy xe giặt)",Tối thiểu,Khá Cao (80-85%),37-2012,"Dọn dẹp phòng khách sạn, thay vỏ chăn ga gối, khử trùng phòng tắm, bổ sung đồ dùng cá nhân cho khách, duy trì vệ sinh hành lang."
58,Housekeeping Associate,Wyndham Vacation Rentals,Dọn phòng khách sạn (Housekeeping),"Myrtle Beach, SC",SC,$19.33/h,"$40,206/năm","Trung bình - Nặng (Thay ga gối, đẩy xe giặt)",Tối thiểu,Khá Cao (80-85%),37-2012,"Dọn dẹp phòng khách sạn, thay vỏ chăn ga gối, khử trùng phòng tắm, bổ sung đồ dùng cá nhân cho khách, duy trì vệ sinh hành lang."
59,Poultry Processing Line Worker,George's Processing Inc.,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Springdale, AR",AR,$19.11/h,"$39,748/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
60,Hotel Room Attendant,Marriott Hospitality Group,Dọn phòng khách sạn (Housekeeping),"Orlando, FL",FL,$17.21/h,"$35,796/năm","Trung bình - Nặng (Thay ga gối, đẩy xe giặt)",Tối thiểu,Khá Cao (80-85%),37-2012,"Dọn dẹp phòng khách sạn, thay vỏ chăn ga gối, khử trùng phòng tắm, bổ sung đồ dùng cá nhân cho khách, duy trì vệ sinh hành lang."
61,Quality Sort Laborer,George's Processing Inc.,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Springdale, AR",AR,$17.92/h,"$37,273/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
62,Evisceration Line Worker,House of Raeford Farms,Chế biến thực phẩm & Gia cầm (Poultry/Meat),"Rose Hill, NC",NC,$15.44/h,"$32,115/năm","Nặng (Đứng liên tục, phòng lạnh 4-8°C)",Không yêu cầu,Rất Cao (95%) - Nhu cầu cực lớn,51-3022,"Cắt tỉa, sơ chế gia cầm trên băng chuyền, phân loại phi lê gà, đóng gói sản phẩm đông lạnh theo tiêu chuẩn an toàn thực phẩm USDA."
